Dish Name,Category,Serving,Quantity,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Caramel custard (steamed),Sweets,-,100g,121.58,15.02,4.97,4.87
Baked custard,Sweets,-,100g,106.53,9.45,5.41,5.3
Soft Custard (stirred),Sweets,-,100g,109.18,11.19,5.01,5.07
Chocolate ice cream,Sweets,-,100g,177.7,15.41,4.47,11.25
Mango ice cream,Sweets,-,100g,125.69,11.14,3.4,7.62
Fruit Ice cream (Phalon ka Ice cream),Sweets,-,100g,171.46,16.05,4.37,10.38
Caramel ice cream,Sweets,-,100g,173.52,14.81,4.31,11.15
Lemon souffle,Sweets,-,100g,168.51,13.43,6.95,10.02
Orange souffle,Sweets,-,100g,168.28,14.2,6.8,9.73
Vanilla souffle,Sweets,-,100g,187.85,14.78,7.71,11.19
Chocolate souffle,Sweets,-,100g,189.32,14.74,7.88,11.36
Pineapple souffle,Sweets,-,100g,196.14,15.52,8.06,11.72
Apple mouBeveragese,Sweets,-,100g,106.92,12.77,4.21,4.27
Rich chocolate mouBeveragese,Sweets,-,100g,188.26,10.84,7.96,12.19
Mango mouBeveragese,Sweets,-,100g,124.98,9.14,3.21,8.47
Orange and pineapple cream,Sweets,-,100g,101.18,11.96,1.44,5.43
Charlotte rouBeveragese,Sweets,-,100g,188.29,34.08,3.95,4.78
Triffle pudding,Sweets,-,100g,116.97,18.24,2.93,3.93
Snow flakes pudding,Sweets,-,100g,95.21,8.07,4.67,4.97
Kulfi,Sweets,-,100g,98.43,11.3,3.21,4.7
Steamed orange pudding,Sweets,-,100g,278.03,41.53,2.34,12.04
Meringue and rice pudding,Sweets,-,100g,112.93,14.6,4.84,4.05
Cheese pudding,Sweets,-,100g,285.01,19.27,11.29,18.37
Chocolate pudding,Sweets,-,100g,211.96,29.59,3.55,9.48
Bread and butter pudding,Sweets,-,100g,167.94,19.63,5.59,7.88
Queen of pudding,Sweets,-,100g,132.92,16.35,5.51,5.38
Pineapple upside down pudding,Sweets,-,100g,257.73,35.73,3.15,11.91
Date and nut pie,Sweets,-,100g,322.42,46.86,3.93,13.31
Stewed apple with custard,Sweets,-,100g,92.87,18.36,1.27,1.82
Apple snowballs,Sweets,-,100g,101.51,24.58,0.86,0.31
Hot orange souffle,Sweets,-,100g,179.97,18.77,6.87,8.95
Hot chocolate souffle,Sweets,-,100g,226.09,26.21,6.7,11.1
Hot vanilla souffle,Sweets,-,100g,192.93,21.77,6.87,9.07
Plain burfi (Burfi),Sweets,-,100g,408.32,30.88,9.82,27.96
Coconut burfi (Nariyal ki burfi),Sweets,-,100g,467.64,32.15,8.81,34.63
Bottle gourd burfi (Ghiya/Lauki burfi),Sweets,-,100g,275.96,24.51,5.86,17.68
Chocolate burfi,Sweets,-,100g,339.33,33.15,13,17.86
Cashewnut burfi (Kaju burfi/Kaju katli),Sweets,-,100g,421.74,37.92,5.48,28.46
Gram flour burfi (Besan burfi),Sweets,-,100g,421.79,46.59,11.19,22.41
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),Sweets,-,100g,428.71,52.86,6.71,21.86
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),Sweets,-,100g,464.43,50.9,5.68,27.03
Gram flour ladoo (Besan ladoo),Sweets,-,100g,476.91,62.61,8.93,22.76
Sesame ladoo (Til ke ladoo),Sweets,-,100g,396.96,43.5,10.7,19.64
Chenna murki,Sweets,-,100g,252.69,36.01,10.46,8.2
Milk cake,Sweets,-,100g,127.41,9.13,3.01,8.93
Ghujia/Lavang latika,Sweets,-,100g,768.98,13,1.86,78.93
Gulab Jamun with khoya,Sweets,-,100g,586.06,26.09,2.03,53.23
Mal pua,Sweets,-,100g,566.68,17.56,1.71,54.64
Shahi tukre,Sweets,-,100g,189.81,41.46,2.76,2.54
Potato pakora/pakoda (Aloo pakoda),Snacks,-,100g,677.19,6.04,1.9,71.84
Onion pakora/pakoda (Pyaaz ke pakode),Snacks,-,100g,674.61,5.41,1.9,71.84
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),Snacks,-,100g,671.63,4.52,1.98,71.86
Mixed vegetable pakora/pakoda,Snacks,-,100g,673.81,5.12,1.94,71.86
Spinach pakora/pakoda (Palak pakoda),Snacks,-,100g,712.62,4.68,1.96,76.38
Methi pakora/pakoda (Methi ke pakode),Snacks,-,100g,713.25,4.68,2.06,76.39
Egg pakora/pakoda (Ande ke pakode),Snacks,-,100g,710.51,4.48,2.83,75.86
Bread pakora/pakoda,Snacks,-,100g,710.99,8.87,2.57,74.2
Paneer pakora/pakoda,Snacks,-,100g,718.12,5.52,3.27,76.05
Potato bonda (Aloo bonda),Snacks,-,100g,632.84,4.53,1.09,67.8
Potato samosa (Aloo ka samosa),Snacks,-,100g,577.39,9.21,1.71,59.19
Minced meat samosa (Keema ka samosa),Snacks,-,100g,620.99,6.14,4.43,64.26
Paneer and pea samosa (Paneer matar ka samosa),Snacks,-,100g,623.81,8.55,4.02,63.65
Mathri,Snacks,-,100g,805.12,12.32,1.75,83.1
Khasta kachori,Snacks,-,100g,712.73,12.81,2.51,72.27
Vegetable cutlet,Snacks,-,100g,665.45,4.68,1.25,71.33
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),Snacks,-,100g,701.71,7.39,1.76,73.89
Peanut cutlet (Mungfali ke cutlet),Snacks,-,100g,698.77,5.68,2.63,74
Fish cutlet (Machli ka cutlet),Snacks,-,100g,654.64,3.13,2.77,70.11
Paneer potato cutlet (Paneer aloo cutlet),Snacks,-,100g,672.94,5.23,2.47,71.4
Spinach chickpeas cutlet (Palak channa dal cutlet),Snacks,-,100g,688.03,4.93,1.44,73.6
